PID ARRIVAL-TIME BURST-TIME
0 4 46
1 0 35
2 6 6
3 7 28
4 11 2
5 14 42
6 10 8
7 11 15
8 12 19
9 7 38
10 11 31
11 7 7
12 11 43
13 11 24
14 3 41
15 12 23
16 0 5
17 4 45
18 11 28
19 12 30
20 3 40
21 3 46
22 9 8
23 14 11
24 4 46
25 12 35
26 12 7
27 1 33
28 4 4
29 11 2
30 13 50
31 6 12
32 4 50
33 9 13
34 7 48
35 3 42
36 3 45
37 3 34
38 1 28
39 14 33
40 10 47
41 14 7
42 13 40
43 5 27
44 11 16
45 7 40
46 10 46
47 14 32
48 9 25
49 3 7
50 1 50
51 10 9
52 14 37
53 11 5
54 5 16
55 4 15
56 9 50
57 1 31
58 1 36
59 2 45
60 4 29
61 11 9
62 8 33
63 0 16
64 9 19
65 7 40
66 5 40
67 8 26
68 0 31
69 12 1
70 4 45
71 5 11
72 9 2
73 10 24
74 4 39
75 6 46
76 10 25
77 3 9
78 3 28
79 0 6
80 14 1
81 7 39
82 5 11
83 11 30
84 12 43
85 11 7
